STATE	ENROLL	NAME	YRDATA	TOTALREV	TFEDREV	TSTREV	TLOCREV	TOTALEXP	TCURINST	TCURSSVC	TCURONON	TCAPOUT
California	4745	OAKLEY UNION ELEMENTARY SCHOOL DISTRICT	2013	39184	3038	21236	14910	36267	22062	11092	1762	414
California	2488	ORINDA UNION ELEMENTARY SCHOOL DISTRICT	2013	27596	455	7660	19481	27667	16891	8594	1026	357
California	10560	PITTSBURG UNIFIED SCHOOL DISTRICT	2013	118813	11398	79797	27618	128811	56531	31417	8088	25616
California	30398	WEST CONTRA COSTA UNIFIED SCHOOL DISTRICT	2013	364176	42801	180179	141196	400603	158214	113549	16314	78622
California	30757	SAN RAMON VALLEY UNIFIED SCHOOL DISTRICT	2013	293880	6700	96999	190181	302282	163868	84283	5972	25588
California	3543	WALNUT CREEK ELEM SCHOOL DISTRICT	2013	31473	1316	6786	23371	31805	18972	8655	856	1867
California	3595	DEL NORTE CO UNIF SCH DIST	2013	35468	6706	17448	11314	39077	21665	12967	1593	2723
California	5099	BUCKEYE UNION SCH DIST	2013	41505	1241	22122	18142	48790	23954	10956	985	9469
California	568	GOLD TRAIL UNION ELEM SCH DIST	2013	4475	235	2231	2009	4453	2678	1497	174	31
California	513	CAMINO UNION ELEM	2013	4365	454	2232	1679	4353	2728	1398	139	74
California	6873	EL DORADO UN HIGH SCHOOL DIST	2013	68313	2577	29380	36356	70335	32332	23376	1706	8031
California	1422	BLACK OAK MINE UNIF SCH DIST	2013	18937	1130	11113	6694	17331	7638	5483	409	3209
California	445	GOLD OAK UN ELEM SCH DIST	2013	3803	260	1686	1857	3679	1977	1324	159	49
California	18	INDIAN DIGGINGS ELEM SCH	2013	216	17	128	71	227	163	64	0	0
California	3793	LAKE TAHOE UNI SCH DIST	2013	42369	3474	18285	20610	57008	20729	12005	1183	20031
California	150	LATROBE ELEM SCH DIST	2013	1906	53	259	1594	1817	844	784	3	178
California	1142	MOTHER LODE UNION ELEM SCH DT	2013	9425	696	4759	3970	9078	5460	3024	325	203
California	312	PIONEER UNION SCH DIST	2013	3121	277	972	1872	2967	1505	1263	159	30
California	1268	PLACERVILLE UNION ELEM SCH DT	2013	10548	1029	5429	4090	11570	5948	3548	512	1335
California	694	POLLOCK PINES ELEM SCH DIST	2013	6488	635	3179	2674	7851	3419	2699	315	1348
California	3899	RESCUE ELEMENTARY SCHOOL DISTRICT	2013	29404	1111	15602	12691	30349	18388	8654	880	1282
California	10	SILVER FORK ELEM SCH DIST	2013	565	24	339	202	855	231	115	8	501
California	0	CENTRAL SIERRA ROP JPA	2013	2232	0	34	2198	2201	891	50	0	0
California	212	ALVINA ELEM SCH DIST	2013	1726	173	1326	227	1525	841	656	5	11
California	52	BIG CREEK ELEM SCH DIST	2013	1337	154	298	885	1360	446	595	40	228
California	119	BURREL UNION ELEM SCH DIST	2013	1318	172	762	384	1222	665	468	86	0
California	1069	CHAWANAKEE JOINT UNIFIED SCHOOL DISTRICT	2013	14087	649	8137	5301	14207	5270	4036	398	3902
California	258	CLAY JOINT ELEM SCH DIST	2013	1772	122	1385	265	1653	1018	578	57	0
California	39894	CLOVIS UNIFIED SCHOOL DISTRICT	2013	391532	25848	244982	120702	394485	200026	120439	15394	49365
California	2291	FIREBAUGH-LAS DELTAS UNIFIED SCHOOL DIST	2013	22457	3775	14040	4642	24573	10696	7976	2076	2983
California	2393	FOWLER UNIFIED SCH DIST	2013	22865	2181	12243	8441	24495	11994	6335	1469	4004
California	73689	FRESNO UNIFIED SCH DIST	2013	775739	128551	542650	104538	793385	396631	237692	50898	91537
California	4799	KERMAN UNIF SCH DIST	2013	40119	5281	27994	6844	38563	21337	13388	2436	597
California	2388	KINGSBURG JOINT UNION ELEMENTARY SCHOOL DISTRICT	2013	18627	1706	12634	4287	18472	9826	7173	891	104
California	1194	KINGSBURG JT UN HIGH SCHOOL DIST	2013	11729	680	6027	5022	10614	6338	2833	239	243
California	702	LATON JT UNIF SCHOOL DISTRICT	2013	6998	864	4674	1460	6360	4179	1800	332	34
California	2978	MENDOTA UNIFIED SCHOOL DIST	2013	29048	4268	18615	6165	32791	16286	9131	1794	5031
California	208	MONROE ELEM SCH DIST	2013	1831	368	1244	219	1698	919	644	122	0
California	321	ORANGE CENTER SCHOOL DISTRICT	2013	3545	670	2256	619	2864	1669	961	206	24
California	3320	PARLIER UNIFIED SCH DIST	2013	33648	7321	23149	3178	34721	18747	12392	2144	910
California	95	PINE RIDGE ELEM SCH DIST	2013	1957	65	301	1591	1932	982	816	60	74
California	580	RAISIN CITY ELEM SCH DIST	2013	6848	702	5080	1066	5781	2795	1841	323	645
California	9954	KINGS CANYON UNIFIED SCHOOL DIST	2013	95779	12502	65964	17313	96579	48330	34594	6057	5421
California	10916	SANGER UNIF SCH DIST	2013	112491	12462	78101	21928	104678	52076	37253	6498	4580
California	6453	SELMA UNIFIED SCH DIST	2013	57177	7708	40777	8692	71007	34122	18888	3490	13147
California	1402	SIERRA UNIFIED SCHOOL DISTRICT	2013	17469	1593	7415	8461	15641	8026	5495	733	231
California	1865	GOLDEN PLAINS UNIFIED SCH DIST	2013	20560	2799	13027	4734	19010	9851	7283	1201	575
California	424	WASHINGTON COLONY ELEM SCHOOL DIST	2013	4195	533	3097	565	3817	2174	1149	224	251
California	3103	WASHINGTON UNIFIED SCHOOL DISTRICT	2013	31044	4268	21443	5333	36043	15321	11656	1210	7434
California	672	WEST PARK ELEM SCH DIST	2013	5899	595	4740	564	5226	2625	2162	261	136
California	609	WESTSIDE ELEM SCH DIST	2013	7056	451	5453	1152	6783	3412	3000	257	22
California	0	CENTER FOR ADVANCED RESEARCH AND TECHNOLOGY	2013	2165	0	0	2165	2377	916	1410	0	51
California	0	VALLEY ROP JPA	2013	2323	0	32	2291	2294	1512	718	0	58
California	1568	RIVERDALE JOINT UNIFIED SCHOOL DISTRICT	2013	15133	1780	8721	4632	14677	7899	5236	960	283
California	0	CENTRAL VALLEY PRE-SCHOOL JPA	2013	307	2	291	14	308	234	74	0	0
California	1347	CARUTHERS UNIFIED SCHOOL DISTRICT	2013	13661	1752	8619	3290	13579	7275	5058	941	238
California	0	SOUTHWEST TRANSPORTATION AGENCY	2013	3480	0	1079	2401	3095	0	2749	0	255
California	0	SOUTH COUNTY SUPPORT SERVICES AGENCY	2013	3375	0	0	3375	3310	0	2358	0	0
California	0	CENTRAL VALLEY SUPPORT SERVICES JPA	2013	8513	2059	0	6454	6428	0	121	0	0
California	542	PACIFIC ELEM SCH DIST	2013	3282	535	2197	550	2997	1553	1168	251	9
California	15262	CENTRAL UNIFIED SCHOOL DIST	2013	129761	13522	86579	29660	134592	63467	46888	8631	8554
California	4322	COALINGA HURON JT UNIFIED SCH DIST	2013	40260	5104	25333	9823	39196	20426	15184	2252	450
California	199	CAPAY JT UNION ELEM SCH DIST	2013	2083	135	1748	200	1388	791	394	111	28
California	710	HAMILTON UNIFIED SCHOOL DISTRICT	2013	6823	621	4665	1537	6552	3577	2096	500	30
California	157	LAKE ELEM SCH DIST	2013	1733	111	1440	182	1602	623	420	95	434
California	134	PLAZA ELEM SCH DIST	2013	1124	96	656	372	1088	632	283	85	10
California	1467	WILLOWS UNIFIED SCH DIST	2013	12323	1358	7032	3933	11875	6116	4172	609	172
California	2163	ORLAND JOINT UNIFIED SCHOOL DISTRICT	2013	19221	2700	10696	5825	24103	11766	6526	1199	4196
California	202	PRINCETON JT UNIFIED SCH DIST	2013	2356	142	1179	1035	2515	1227	1026	124	28
California	111	STONEY CREEK JT UNIF SCH DIST	2013	1860	293	1237	330	2143	1004	971	118	0
California	932	ARCATA ELEM SCH DIST	2013	9018	1248	4777	2993	8934	4617	2869	563	541
California	1722	NORTHERN HUMBOLDT UHSD	2013	18758	2017	8045	8696	20539	10881	6399	638	2141
California	152	BLUE LAKE ELEM SCH DIST	2013	1688	186	499	1003	1814	1056	458	94	80
California	37	BRIDGEVILLE ELEM SCH DIST	2013	635	96	376	163	684	411	226	47	0
California	122	CUDDEBACK ELEM SCH DIST	2013	1229	108	748	373	1290	769	414	106	0
California	561	CUTTEN ELEM SCH DIST	2013	4153	344	2706	1103	3841	2649	918	184	38
California	139	FIELDBROOK ELEM SCH DIST	2013	1127	77	596	454	1088	627	374	64	0
California	125	FORTUNA ELEMENTARY SCHOOL DISTRICT	2013	18055	1742	6161	10152	13562	7304	3223	692	1971
